datetime,station,PM25,NO2,O3,WD,WS,TEMP,RH
2010-09-02 02:00,2,9,6.1,22.3,356,13,17.3,59
2010-09-02 03:00,2,7,6.1,19,357,14,15.9,65.1
2010-09-02 04:00,2,5,4.7,20.7,355,13,14.4,70.4
2010-09-02 05:00,2,5,4.4,22.1,348,11,13.4,71.3
2010-09-02 06:00,2,5,4.2,16.2,320,8,11.8,80.9
2010-09-02 07:00,2,6,2.9,15.1,310,7,10.4,84.7
2010-09-02 08:00,2,4,2.2,17.5,318,8,9.8,83.8
2010-09-02 09:00,2,1,1.1,19.2,308,9,9.5,83
2010-09-02 10:00,2,1,1.1,16,309,9,8.6,85.5
2010-09-02 11:00,2,2,1.3,14.3,303,10,7.8,86.2
2010-09-02 12:00,2,2,2.2,12.2,299,8,7.3,87.1
2010-09-02 13:00,2,0,4.2,9.6,302,8,6.8,87.7
2010-09-02 14:00,2,1,7,8.3,302,10,7.5,85.5
2010-09-02 15:00,2,0,3.6,11.4,307,11,8.9,81
2010-09-02 16:00,2,0,2.3,17.6,310,11,11.1,71.5
2010-09-02 17:00,2,2,2.4,23.6,315,12,13.5,60.2
2010-09-02 18:00,2,4,2,29.1,317,13,15.2,51.9
2010-09-02 19:00,2,5,2.4,31.2,306,15,16.6,44.1
2010-09-02 20:00,2,4,2,32.4,298,15,17.6,39.3
2010-09-02 21:00,2,3,2.4,33.2,309,15,18.3,36
2010-09-02 22:00,2,4,4.3,31.9,318,14,18.8,35
2010-09-02 23:00,2,5,3.7,32.5,308,13,19,35
2010-09-03 00:00,2,3,2.5,33.8,310,13,19.3,34.8
2010-09-03 01:00,2,2,3.7,32.3,313,10,18.8,37.7
2010-09-03 02:00,2,4,12.9,21.1,315,5,17.6,43.7
2010-09-03 03:00,2,6,22.8,9.5,278,2,15.4,52.1
2010-09-03 04:00,2,20,28.9,2,267,1,13.8,61.8
2010-09-03 05:00,2,18,25.7,1.4,357,2,12.5,69.1
2010-09-03 06:00,2,21,24.7,1.8,296,1,11.2,75.7
2010-09-03 07:00,2,21,21.9,1,240,3,10.5,81.3
2010-09-03 08:00,2,12,20.5,1,305,1,9.6,84
2010-09-03 09:00,2,12,20.2,1.2,229,3,9.2,84.2
2010-09-03 10:00,2,10,20.2,2.5,221,3,8.8,83.8
2010-09-03 11:00,2,8,14.4,4.6,210,1,8.3,84.6
2010-09-03 12:00,2,8,11.8,4.7,184,3,7.7,86.3
2010-09-03 13:00,2,6,15.9,2,198,2,7.7,85.6
2010-09-03 14:00,2,4,14.5,3.1,185,5,8.7,80.9
2010-09-03 15:00,2,7,15,4.6,185,6,9.8,77.6
2010-09-03 16:00,2,8,14,6.9,170,4,11.5,72.6
2010-09-03 17:00,2,6,9.4,15.6,151,5,14.3,62.9
2010-09-03 18:00,2,6,6.5,24.3,151,6,17.8,50.4
2010-09-03 19:00,2,5,4.9,32.7,167,7,20,41.4
2010-09-03 20:00,2,6,2.9,37,185,6,21.2,35.6
2010-09-03 21:00,2,5,2.6,37.2,191,7,21.9,32.7
2010-09-03 22:00,2,3,4.7,35.2,148,5,22.3,32.9
2010-09-03 23:00,2,3,4.1,35.6,153,5,22.7,32.6
2010-09-04 00:00,2,3,5.4,34.1,116,6,22.3,34.2
2010-09-04 01:00,2,5,6.6,30.8,105,6,21.2,38.7
2010-09-04 02:00,2,6,6.2,27.8,102,6,20.1,43.6
2010-09-04 03:00,2,6,7.2,25.5,110,8,18.3,49.4
2010-09-04 04:00,2,8,7.5,23.9,113,8,16.7,54.2
2010-09-04 05:00,2,8,7.7,22.6,117,9,15.9,55.8
2010-09-04 06:00,2,7,5.7,23.9,119,9,15.5,55.9
2010-09-04 07:00,2,5,4,23.9,117,7,14.8,59.5
2010-09-04 08:00,2,3,3.1,23.1,110,8,13.9,64
2010-09-04 09:00,2,3,2.7,22.2,112,10,13.4,65.3
2010-09-04 10:00,2,4,1.8,22.8,111,11,12.9,66.6
2010-09-04 11:00,2,3,1.8,23.1,115,11,12.5,67.7
2010-09-04 12:00,2,3,2,22,112,11,11.8,70.4
2010-09-04 13:00,2,3,2.4,20.4,112,10,11.2,73
2010-09-04 14:00,2,2,2.8,19.1,111,9,11.3,72.8
2010-09-04 15:00,2,4,2.7,19.5,108,9,12.7,68.5
2010-09-04 16:00,2,4,3.2,21.1,112,9,15,61.6
2010-09-04 17:00,2,3,3,23.7,115,9,17.3,55.6
2010-09-04 18:00,2,4,3,28.4,116,9,20.1,48
2010-09-04 19:00,2,4,2.8,32.6,114,12,21.7,42.5
2010-09-04 20:00,2,4,3.2,35.5,118,12,23.2,38.8
2010-09-04 21:00,2,5,3.1,37.8,137,11,25.1,32.5
2010-09-04 22:00,2,6,4.1,38.7,158,14,26,31.9
2010-09-04 23:00,2,5,3.7,39.6,160,14,26.5,31.6
2010-09-05 00:00,2,3,4.3,38.7,151,11,26.9,31.6
2010-09-05 01:00,2,3,5,34,140,8,26.1,34
2010-09-05 02:00,2,4,4.2,33.3,112,10,23.5,41.4
2010-09-05 03:00,2,5,4.4,32.5,111,12,21.3,46.3
2010-09-05 04:00,2,6,4.1,31.8,114,12,19.7,52.2
2010-09-05 05:00,2,6,4.9,27.5,113,12,18.4,59
2010-09-05 06:00,2,6,3.5,26.7,108,10,17.2,64.4
2010-09-05 07:00,2,7,3.6,25.5,132,8,16.6,65.5
2010-09-05 08:00,2,6,4.7,22.2,178,7,16.3,66
2010-09-05 09:00,2,3,2.6,21.5,262,9,14.7,76.1
2010-09-05 10:00,2,4,2.3,18.7,296,5,14.3,79.8
2010-09-05 11:00,2,3,3.6,15.6,218,1,13.6,85.3
2010-09-05 12:00,2,3,3.2,15.9,238,5,12.7,87.3
2010-09-05 13:00,2,4,4.9,14.1,171,5,12.5,86.8
